trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_6220,,0m 10s,2024-06-23 11:35:10-04:00,20240623,0,1,0
GO301_24_8022,,0m 21s,2024-06-23 11:21:21-04:00,20240623,0,4,0
GO301_24_6824,,2m 29s,2024-06-23 12:10:29-04:00,20240623,0,6,0
GO301_24_8050,,1m 4s,2024-06-23 12:22:04-04:00,20240623,0,4,0
GO301_24_7617,,-3m 10s,2024-06-23 11:43:10-04:00,20240623,0,10,1
GO301_24_7522,,0m 55s,2024-06-23 11:24:55-04:00,20240623,0,10,0
GO301_24_8019,,-3m 45s,2024-06-23 11:53:45-04:00,20240623,0,4,1
GO301_24_6722,,1m 29s,2024-06-23 12:03:29-04:00,20240623,0,2,0
GO301_24_6132,,1m 51s,2024-06-23 12:14:51-04:00,20240623,0,1,0
GO301_24_8721,,3m 54s,2024-06-23 11:46:54-04:00,20240623,0,7,1
GO301_24_6129,,-2m 7s,2024-06-23 11:47:07-04:00,20240623,0,1,1
GO301_24_7521,,1m 17s,2024-06-23 12:09:17-04:00,20240623,0,10,1
GO301_24_6219,,-4m 28s,2024-06-23 12:07:28-04:00,20240623,0,1,1
GO301_24_7919,,-4m 14s,2024-06-23 12:17:14-04:00,20240623,0,4,1
GO301_24_8720,,0m 54s,2024-06-23 11:47:54-04:00,20240623,0,7,0
GO301_24_7922,,0m 38s,2024-06-23 11:51:38-04:00,20240623,0,4,0
GO301_24_6130,,1m 41s,2024-06-23 11:55:41-04:00,20240623,0,1,0
GO301_24_7106,,0m 58s,2024-06-23 12:06:58-04:00,20240623,0,1,0
GO301_24_7550,,2m 14s,2024-06-23 12:26:14-04:00,20240623,0,10,0
GO301_24_6515,,-1m 36s,2024-06-23 12:35:36-04:00,20240623,0,3,1
GO301_24_6131,,3m 28s,2024-06-23 12:33:28-04:00,20240623,0,1,1
GO301_24_7720,,-2m 50s,2024-06-23 12:01:50-04:00,20240623,0,8,0
GO301_24_6825,,-2m 4s,2024-06-23 12:26:04-04:00,20240623,0,6,1
GO301_24_7719,,-2m 39s,2024-06-23 12:22:39-04:00,20240623,0,8,1
GO301_24_6725,,0m 37s,2024-06-23 12:33:37-04:00,20240623,0,2,1
GO301_24_8872,,4m 14s,2024-06-23 12:26:14-04:00,20240623,0,12,0
GO301_24_7619,,-8m 55s,2024-06-23 12:38:55-04:00,20240623,0,10,1
GO301_24_7104,,0m 42s,2024-06-23 10:27:42-04:00,20240623,0,1,0
GO301_24_8750,,-3m 7s,2024-06-23 12:42:07-04:00,20240623,0,7,0
GO301_24_8876,,2m 11s,2024-06-23 12:44:11-04:00,20240623,0,12,0
GO301_24_8751,,4m 24s,2024-06-23 12:47:24-04:00,20240623,0,7,1
GO301_24_6151,,-2m 46s,2024-06-23 12:47:46-04:00,20240623,0,1,1
GO301_24_8021,,-5m 8s,2024-06-23 12:51:08-04:00,20240623,0,4,1
GO301_24_7950,,0m 10s,2024-06-23 12:51:10-04:00,20240623,0,4,0
GO301_24_6150,,1m 40s,2024-06-23 12:55:40-04:00,20240623,0,1,0
GO301_24_7650,,-1m 14s,2024-06-23 12:56:14-04:00,20240623,0,10,0
GO301_24_6750,,0m 15s,2024-06-23 13:02:15-04:00,20240623,0,2,0
GO301_24_7750,,0m 3s,2024-06-23 13:03:03-04:00,20240623,0,8,0
GO301_24_6152,,1m 14s,2024-06-23 13:07:14-04:00,20240623,0,1,0
GO301_24_6852,,1m 9s,2024-06-23 13:09:09-04:00,20240623,0,6,0
GO301_24_6251,,-2m 32s,2024-06-23 13:09:32-04:00,20240623,0,1,1
GO301_24_7551,,2m 57s,2024-06-23 13:10:57-04:00,20240623,0,10,1
GO301_24_7951,,-4m 39s,2024-06-23 13:17:39-04:00,20240623,0,4,1
GO301_24_8052,,0m 31s,2024-06-23 13:21:31-04:00,20240623,0,4,0
GO301_24_7751,,-2m 19s,2024-06-23 13:22:19-04:00,20240623,0,8,1
GO301_24_8882,,0m 29s,2024-06-23 13:22:29-04:00,20240623,0,12,0
GO301_24_7552,,1m 18s,2024-06-23 13:25:18-04:00,20240623,0,10,0
GO301_24_6853,,2m 45s,2024-06-23 13:30:45-04:00,20240623,0,6,1
GO301_24_6751,,-2m 30s,2024-06-23 13:31:30-04:00,20240623,0,2,1
GO301_24_6252,,0m 48s,2024-06-23 13:32:48-04:00,20240623,0,1,0
GO301_24_6153,,4m 41s,2024-06-23 13:34:41-04:00,20240623,0,1,1
GO301_24_8884,,-2m 12s,2024-06-23 13:40:12-04:00,20240623,0,12,0
GO301_24_8752,,-4m 41s,2024-06-23 13:41:41-04:00,20240623,0,7,0
GO301_24_7651,,-3m 33s,2024-06-23 13:43:33-04:00,20240623,0,10,1
GO301_24_8753,,2m 28s,2024-06-23 13:45:28-04:00,20240623,0,7,1
GO301_24_6155,,-3m 9s,2024-06-23 13:49:09-04:00,20240623,0,1,1
GO301_24_7952,,1m 31s,2024-06-23 13:52:31-04:00,20240623,0,4,0
GO301_24_8051,,-4m 57s,2024-06-23 13:52:57-04:00,20240623,0,4,1
GO301_24_7652,,-3m 18s,2024-06-23 13:54:18-04:00,20240623,0,10,0
GO301_24_6154,,1m 34s,2024-06-23 13:55:34-04:00,20240623,0,1,0
GO301_24_6752,,-1m 33s,2024-06-23 14:01:33-04:00,20240623,0,2,0
GO301_24_7752,,1m 56s,2024-06-23 14:04:56-04:00,20240623,0,8,0
GO301_24_6156,,1m 41s,2024-06-23 14:07:41-04:00,20240623,0,1,0
GO301_24_7553,,0m 29s,2024-06-23 14:08:29-04:00,20240623,0,10,1
GO301_24_6854,,1m 14s,2024-06-23 14:09:14-04:00,20240623,0,6,0
GO301_24_6253,,1m 11s,2024-06-23 14:16:11-04:00,20240623,0,1,1
GO301_24_8888,,-2m 53s,2024-06-23 14:20:53-04:00,20240623,0,12,0
GO301_24_7953,,0m 20s,2024-06-23 14:21:20-04:00,20240623,0,4,1
GO301_24_8054,,2m 2s,2024-06-23 14:23:02-04:00,20240623,0,4,0
GO301_24_7753,,0m 4s,2024-06-23 14:24:04-04:00,20240623,0,8,1
GO301_24_7554,,-1m 59s,2024-06-23 14:29:59-04:00,20240623,0,10,0
GO301_24_6855,,2m 14s,2024-06-23 14:30:14-04:00,20240623,0,6,1
GO301_24_6157,,2m 44s,2024-06-23 14:32:44-04:00,20240623,0,1,1
GO301_24_6753,,-1m 58s,2024-06-23 14:32:58-04:00,20240623,0,2,1
GO301_24_6553,,-1m 15s,2024-06-23 14:34:15-04:00,20240623,0,3,1
GO301_24_6057,,1m 18s,2024-06-23 14:36:18-04:00,20240623,0,5,1
GO301_24_6254,,-2m 40s,2024-06-23 14:37:40-04:00,20240623,0,1,0
GO301_24_6005,,27m 29s,2024-06-23 14:40:29-04:00,20240623,0,5,1
