trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_2070,,1m 20s,2024-07-12 18:36:20-04:00,20240712,0,4,0
GO301_24_20,,-4m 32s,2024-07-12 17:32:32-04:00,20240712,0,5,0
GO301_24_272,,1m 25s,2024-07-12 18:39:25-04:00,20240712,0,1,0
GO301_24_1666,,-4m 55s,2024-07-12 18:43:55-04:00,20240712,0,10,0
GO301_24_18_1,,1m 16s,2024-07-12 16:49:16-04:00,20240712,0,5,0
GO301_24_274,,-1m 47s,2024-07-12 19:01:47-04:00,20240712,0,1,0
GO301_24_876,,0m 8s,2024-07-12 19:05:08-04:00,20240712,0,6,0
GO301_24_566,,0m 0s,2024-07-12 18:41:00-04:00,20240712,0,3,0
GO301_24_44,,-2m 55s,2024-07-12 18:46:55-04:00,20240712,0,5,0
GO301_24_176,,-1m 43s,2024-07-12 18:50:43-04:00,20240712,0,1,0
GO301_24_175,,1m 36s,2024-07-12 18:35:36-04:00,20240712,0,1,1
GO301_24_698,,-1m 7s,2024-07-12 18:16:07-04:00,20240712,0,10,0
GO301_24_774,,-1m 2s,2024-07-12 19:10:02-04:00,20240712,0,2,0
GO301_24_276,,0m 42s,2024-07-12 19:29:42-04:00,20240712,0,1,0
GO301_24_1668,,-2m 23s,2024-07-12 19:23:23-04:00,20240712,0,10,0
GO301_24_880,,-1m 17s,2024-07-12 19:38:17-04:00,20240712,0,6,0
GO301_24_1670,,-5m 22s,2024-07-12 19:51:22-04:00,20240712,0,10,0
GO301_24_772,,2m 55s,2024-07-12 19:02:55-04:00,20240712,0,2,0
GO301_24_1766,,-3m 42s,2024-07-12 19:08:42-04:00,20240712,0,8,0
GO301_24_878_1,,-1m 22s,2024-07-12 19:25:22-04:00,20240712,0,6,0
GO301_24_265,,4m 52s,2024-07-12 19:16:52-04:00,20240712,0,1,1
GO301_24_1969,,-1m 45s,2024-07-12 19:25:45-04:00,20240712,0,4,1
GO301_24_1563,,11m 58s,2024-07-12 19:19:58-04:00,20240712,0,10,1
GO301_24_568,,1m 3s,2024-07-12 19:11:03-04:00,20240712,0,3,0
GO301_24_179,,-2m 26s,2024-07-12 19:31:26-04:00,20240712,0,1,1
GO301_24_1665,,1m 25s,2024-07-12 19:34:25-04:00,20240712,0,10,1
GO301_24_668,,0m 17s,2024-07-12 18:59:17-04:00,20240712,0,10,0
GO301_24_298,,-1m 15s,2024-07-12 19:07:15-04:00,20240712,0,1,0
GO301_24_1570,,-1m 58s,2024-07-12 19:06:58-04:00,20240712,0,10,0
GO301_24_869,,-1m 8s,2024-07-12 19:23:08-04:00,20240712,0,6,1
GO301_24_2065,,-1m 57s,2024-07-12 19:55:57-04:00,20240712,0,4,1
GO301_24_1068,,-1m 43s,2024-07-12 19:12:43-04:00,20240712,0,4,0
GO301_24_181,,-2m 37s,2024-07-12 19:45:37-04:00,20240712,0,1,1
GO301_24_178,,-2m 35s,2024-07-12 19:18:35-04:00,20240712,0,1,0
GO301_24_1574,,-2m 55s,2024-07-12 19:35:55-04:00,20240712,0,10,0
GO301_24_2778,,2m 17s,2024-07-12 19:48:17-04:00,20240712,0,7,0
GO301_24_1072,,1m 9s,2024-07-12 19:50:09-04:00,20240712,0,4,0
GO301_24_767,,1m 1s,2024-07-12 19:43:01-04:00,20240712,0,2,1
GO301_24_180,,0m 49s,2024-07-12 19:43:49-04:00,20240712,0,1,0
GO301_24_2962,,-1m 46s,2024-07-12 19:44:46-04:00,20240712,0,12,0
