trip_id,direction,delay_formatted,local_arrival_time,start_date,schedule_relationship,route_id,direction_id
GO301_24_2012,,-1m 49s,2024-07-25 07:22:49-04:00,20240725,0,4,0
GO301_24_222,,2m 55s,2024-07-25 07:55:55-04:00,20240725,0,1,0
GO301_24_2716,,3m 5s,2024-07-25 07:53:05-04:00,20240725,0,7,0
GO301_24_1612,,2m 55s,2024-07-25 08:07:55-04:00,20240725,0,10,0
GO301_24_2014,,-1m 59s,2024-07-25 08:19:59-04:00,20240725,0,4,0
GO301_24_37,,3m 0s,2024-07-25 07:32:00-04:00,20240725,0,5,1
GO301_24_1919,,2m 39s,2024-07-25 07:51:39-04:00,20240725,0,4,1
GO301_24_2103,,1m 55s,2024-07-25 07:58:55-04:00,20240725,0,4,1
GO301_24_825,,-2m 17s,2024-07-25 08:19:17-04:00,20240725,0,6,1
GO301_24_1125,,8m 16s,2024-07-25 07:33:16-04:00,20240725,0,1,1
GO301_24_227,,5m 14s,2024-07-25 07:37:14-04:00,20240725,0,1,1
GO301_24_127,,3m 49s,2024-07-25 07:47:49-04:00,20240725,0,1,1
GO301_24_229,,2m 4s,2024-07-25 07:57:04-04:00,20240725,0,1,1
GO301_24_231,,0m 24s,2024-07-25 08:01:24-04:00,20240725,0,1,1
GO301_24_1129,,-3m 28s,2024-07-25 08:06:28-04:00,20240725,0,1,1
GO301_24_129,,2m 30s,2024-07-25 08:19:30-04:00,20240725,0,1,1
GO301_24_39,,0m 14s,2024-07-25 07:59:14-04:00,20240725,0,5,1
GO301_24_725,,1m 20s,2024-07-25 08:21:20-04:00,20240725,0,2,1
GO301_24_615,,2m 25s,2024-07-25 07:43:25-04:00,20240725,0,10,1
GO301_24_1515,,0m 15s,2024-07-25 07:27:15-04:00,20240725,0,10,1
GO301_24_617,,5m 2s,2024-07-25 08:09:02-04:00,20240725,0,10,1
GO301_24_1917,,3m 5s,2024-07-25 07:35:05-04:00,20240725,0,4,1
GO301_24_2699,,4m 16s,2024-07-25 07:49:16-04:00,20240725,0,10,1
GO301_24_721,,2m 50s,2024-07-25 07:38:50-04:00,20240725,0,2,1
GO301_24_509,,1m 40s,2024-07-25 07:55:40-04:00,20240725,0,3,1
GO301_24_821,,2m 33s,2024-07-25 07:40:33-04:00,20240725,0,6,1
GO301_24_1512,,-1m 22s,2024-07-25 07:30:22-04:00,20240725,0,10,0
GO301_24_1127,,3m 36s,2024-07-25 07:44:36-04:00,20240725,0,1,1
GO301_24_128,,0m 39s,2024-07-25 07:41:39-04:00,20240725,0,1,0
GO301_24_1912,,3m 47s,2024-07-25 07:49:47-04:00,20240725,0,4,0
GO301_24_714,,5m 26s,2024-07-25 08:03:26-04:00,20240725,0,2,0
GO301_24_1514,,-1m 38s,2024-07-25 08:26:38-04:00,20240725,0,10,0
GO301_24_513,,-3m 48s,2024-07-25 08:13:48-04:00,20240725,0,3,1
GO301_24_2019,,3m 47s,2024-07-25 08:09:47-04:00,20240725,0,4,1
GO301_24_2721,,3m 58s,2024-07-25 07:50:58-04:00,20240725,0,7,1
GO301_24_1710,,3m 19s,2024-07-25 08:01:19-04:00,20240725,0,8,0
GO301_24_2842,,-2m 42s,2024-07-25 08:05:42-04:00,20240725,0,12,0
GO301_24_1517,,0m 30s,2024-07-25 08:05:30-04:00,20240725,0,10,1
GO301_24_1709,,2m 48s,2024-07-25 07:53:48-04:00,20240725,0,8,1
GO301_24_2723,,3m 16s,2024-07-25 08:12:16-04:00,20240725,0,7,1
GO301_24_2844,,-1m 50s,2024-07-25 08:18:50-04:00,20240725,0,12,0
GO301_24_723,,1m 42s,2024-07-25 08:03:42-04:00,20240725,0,2,1
GO301_24_823,,-1m 24s,2024-07-25 07:58:24-04:00,20240725,0,6,1
GO301_24_2601,,-1m 29s,2024-07-25 08:12:29-04:00,20240725,0,10,1
GO301_24_2725,,-2m 45s,2024-07-25 08:22:45-04:00,20240725,0,7,1
GO301_24_1711,,3m 27s,2024-07-25 08:23:27-04:00,20240725,0,8,1
GO301_24_827,,0m 4s,2024-07-25 08:27:04-04:00,20240725,0,6,1
GO301_24_1921,,-1m 53s,2024-07-25 08:28:53-04:00,20240725,0,4,1
GO301_24_1235,,0m 16s,2024-07-25 08:30:16-04:00,20240725,0,1,1
GO301_24_2846,,0m 0s,2024-07-25 08:31:00-04:00,20240725,0,12,0
GO301_24_7,,2m 37s,2024-07-25 08:33:37-04:00,20240725,0,5,1
GO301_24_233,,-1m 26s,2024-07-25 08:33:26-04:00,20240725,0,1,1
GO301_24_619,,1m 39s,2024-07-25 08:34:39-04:00,20240725,0,10,1
GO301_24_829,,-1m 13s,2024-07-25 08:37:13-04:00,20240725,0,6,1
GO301_24_224,,6m 12s,2024-07-25 08:41:12-04:00,20240725,0,1,0
GO301_24_2503,,1m 35s,2024-07-25 08:42:35-04:00,20240725,0,10,1
GO301_24_2850,,0m 23s,2024-07-25 08:43:23-04:00,20240725,0,12,0
GO301_24_1031,,-1m 51s,2024-07-25 08:44:51-04:00,20240725,0,4,1
GO301_24_2718,,2m 17s,2024-07-25 08:47:17-04:00,20240725,0,7,0
GO301_24_2727,,0m 28s,2024-07-25 08:47:28-04:00,20240725,0,7,1
