"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO301_24_2","01:03:00","01:03:00","102","1","0","0"
"GO301_24_2","01:40:00","01:40:00","27","2","0","0"
"GO301_24_2","01:46:00","01:46:00","26","3","0","0"
"GO301_24_2","01:52:00","01:52:00","100","4","0","0"
"GO301_24_2","01:56:00","01:56:00","74","5","0","0"
"GO301_24_2","02:02:00","02:02:00","157","6","0","0"
"GO301_24_2","02:09:00","02:09:00","204","7","0","0"
"GO301_24_2","02:17:00","02:17:00","163","8","0","0"
"GO301_24_2","02:23:00","02:23:00","21","9","0","0"
"GO301_24_2","02:30:00","02:30:00","140","10","0","0"
"GO301_24_2","02:46:00","02:46:00","198","11","0","0"
"GO301_24_2","02:52:00","02:52:00","233","12","0","0"
"GO301_24_2","03:02:00","03:02:00","83","13","0","0"
"GO301_24_2","03:12:00","03:12:00","191","14","0","0"
"GO301_24_2","03:20:00","03:20:00","13","15","0","0"
"GO301_24_2","03:30:00","03:30:00","48","16","0","0"
"GO301_24_2","03:35:00","03:35:00","4","17","0","0"
"GO301_24_2","03:55:00","03:55:00","141","18","0","0"
"GO301_24_2_1","01:03:00","01:03:00","102","1","0","0"
"GO301_24_2_1","01:46:00","01:46:00","27","2","0","0"
"GO301_24_2_1","01:52:00","01:52:00","26","3","0","0"
"GO301_24_2_1","01:57:00","01:57:00","100","4","0","0"
"GO301_24_2_1","02:00:00","02:00:00","74","5","0","0"
"GO301_24_2_1","02:04:00","02:04:00","157","6","0","0"
"GO301_24_2_1","02:10:00","02:10:00","204","7","0","0"
"GO301_24_2_1","02:17:00","02:17:00","163","8","0","0"
"GO301_24_2_1","02:23:00","02:23:00","21","9","0","0"
"GO301_24_2_1","02:30:00","02:30:00","140","10","0","0"
"GO301_24_2_1","02:46:00","02:46:00","198","11","0","0"
"GO301_24_2_1","02:52:00","02:52:00","233","12","0","0"
"GO301_24_2_1","03:02:00","03:02:00","83","13","0","0"
"GO301_24_2_1","03:12:00","03:12:00","191","14","0","0"
"GO301_24_2_1","03:20:00","03:20:00","13","15","0","0"
"GO301_24_2_1","03:30:00","03:30:00","48","16","0","0"
"GO301_24_2_1","03:35:00","03:35:00","4","17","0","0"
"GO301_24_2_1","03:55:00","03:55:00","141","18","0","0"
"GO301_24_3","01:01:00","01:01:00","141","1","0","0"
"GO301_24_3","01:20:00","01:20:00","4","2","0","0"
"GO301_24_3","01:25:00","01:25:00","48","3","0","0"
"GO301_24_3","01:34:00","01:34:00","13","4","0","0"
"GO301_24_3","01:44:00","01:44:00","191","5","0","0"
"GO301_24_3","01:54:00","01:54:00","83","6","0","0"
"GO301_24_3","02:04:00","02:04:00","233","7","0","0"
"GO301_24_3","02:17:00","02:17:00","198","8","0","0"
"GO301_24_3","02:34:00","02:34:00","140","9","0","0"
"GO301_24_3","02:41:00","02:41:00","21","10","0","0"
"GO301_24_3","02:48:00","02:48:00","163","11","0","0"
"GO301_24_3","02:56:00","02:56:00","204","12","0","0"
"GO301_24_3","03:02:00","03:02:00","157","13","0","0"
"GO301_24_3","03:08:00","03:08:00","74","14","0","0"
"GO301_24_3","03:12:00","03:12:00","100","15","0","0"
"GO301_24_3","03:18:00","03:18:00","26","16","0","0"
"GO301_24_3","03:24:00","03:24:00","27","17","0","0"
"GO301_24_3","04:01:00","04:01:00","102","18","0","0"
"GO301_24_3_1","01:01:00","01:01:00","141","1","0","0"
"GO301_24_3_1","01:20:00","01:20:00","4","2","0","0"
"GO301_24_3_1","01:25:00","01:25:00","48","3","0","0"
"GO301_24_3_1","01:34:00","01:34:00","13","4","0","0"
"GO301_24_3_1","01:44:00","01:44:00","191","5","0","0"
"GO301_24_3_1","01:54:00","01:54:00","83","6","0","0"
"GO301_24_3_1","02:04:00","02:04:00","233","7","0","0"
"GO301_24_3_1","02:17:00","02:17:00","198","8","0","0"
"GO301_24_3_1","02:34:00","02:34:00","140","9","0","0"
"GO301_24_3_1","02:41:00","02:41:00","21","10","0","0"
"GO301_24_3_1","02:48:00","02:48:00","163","11","0","0"
"GO301_24_3_1","02:56:00","02:56:00","204","12","0","0"
"GO301_24_3_1","03:02:00","03:02:00","157","13","0","0"
"GO301_24_3_1","03:08:00","03:08:00","74","14","0","0"
"GO301_24_3_1","03:12:00","03:12:00","100","15","0","0"
"GO301_24_3_1","03:18:00","03:18:00","26","16","0","0"
"GO301_24_3_1","03:24:00","03:24:00","27","17","0","0"
"GO301_24_3_1","04:02:00","04:02:00","102","18","0","0"
"GO301_24_4","08:18:00","08:18:00","102","1","0","0"
"GO301_24_4","08:57:00","08:57:00","27","2","0","0"
"GO301_24_4","09:21:00","09:21:00","163","3","0","0"
"GO301_24_4","09:27:00","09:27:00","21","4","0","0"
"GO301_24_4","09:34:00","09:34:00","140","5","0","0"
"GO301_24_4","09:50:00","09:50:00","198","6","0","0"
"GO301_24_4","09:56:00","09:56:00","233","7","0","0"
"GO301_24_4","10:05:00","10:05:00","83","8","0","0"
"GO301_24_4","10:15:00","10:15:00","191","9","0","0"
"GO301_24_4","10:23:00","10:23:00","13","10","0","0"
"GO301_24_4","10:33:00","10:33:00","48","11","0","0"
"GO301_24_4","10:38:00","10:38:00","4","12","0","0"
"GO301_24_4","10:58:00","10:58:00","141","13","0","0"
"GO301_24_5","04:32:00","04:32:00","191","1","0","0"
"GO301_24_5","04:42:00","04:42:00","83","2","0","0"
"GO301_24_5","04:51:00","04:51:00","233","3","0","0"
"GO301_24_5","04:59:00","04:59:00","198","4","0","0"
"GO301_24_5","05:16:00","05:16:00","140","5","0","0"
"GO301_24_5","05:23:00","05:23:00","21","6","0","0"
"GO301_24_5","05:30:00","05:30:00","163","7","0","0"
"GO301_24_5","05:37:00","05:37:00","204","8","0","0"
"GO301_24_5","05:41:00","05:41:00","157","9","0","0"
"GO301_24_5","05:45:00","05:45:00","74","10","0","0"
"GO301_24_5","05:49:00","05:49:00","100","11","0","0"
"GO301_24_5","05:54:00","05:54:00","26","12","0","0"
"GO301_24_5","06:00:00","06:00:00","27","13","0","0"
"GO301_24_5","06:37:00","06:38:00","102","14","0","0"
"GO301_24_5","06:56:00","06:56:00","237","15","0","0"
"GO301_24_7","05:44:00","05:44:00","141","1","0","0"
"GO301_24_7","06:03:00","06:03:00","4","2","0","0"
"GO301_24_7","06:08:00","06:08:00","48","3","0","0"
"GO301_24_7","06:18:00","06:18:00","13","4","0","0"
"GO301_24_7","06:31:00","06:31:00","191","5","0","0"
"GO301_24_7","06:41:00","06:41:00","83","6","0","0"
"GO301_24_7","06:50:00","06:50:00","233","7","0","0"
"GO301_24_7","06:57:00","06:57:00","198","8","0","0"
"GO301_24_7","07:14:00","07:14:00","140","9","0","0"
"GO301_24_7","07:21:00","07:21:00","21","10","0","0"
"GO301_24_7","07:28:00","07:28:00","163","11","0","0"
"GO301_24_7","07:35:00","07:35:00","204","12","0","0"
"GO301_24_7","07:48:00","07:48:00","27","13","0","0"
"GO301_24_7","08:07:00","08:07:00","92","14","0","0"
"GO301_24_7","08:15:00","08:15:00","132","15","0","0"
"GO301_24_7","08:29:00","08:31:00","102","16","0","0"
"GO301_24_7","08:48:00","08:48:00","90","17","0","0"
"GO301_24_7","08:57:00","08:57:00","118","18","0","0"
"GO301_24_8","11:37:00","11:41:00","102","1","0","0"
"GO301_24_8","12:19:00","12:19:00","27","2","0","0"
"GO301_24_8","12:25:00","12:25:00","26","3","0","0"
"GO301_24_8","12:35:00","12:35:00","204","4","0","0"
"GO301_24_8","12:43:00","12:43:00","163","5","0","0"
"GO301_24_8","12:49:00","12:49:00","21","6","0","0"
"GO301_24_8","12:56:00","12:56:00","140","7","0","0"
"GO301_24_8","13:12:00","13:12:00","198","8","0","0"
"GO301_24_8","13:24:00","13:24:00","233","9","0","0"
"GO301_24_8","13:33:00","13:33:00","83","10","0","0"
"GO301_24_8","13:43:00","13:43:00","191","11","0","0"
"GO301_24_8","13:51:00","13:51:00","13","12","0","0"
"GO301_24_8","14:01:00","14:01:00","48","13","0","0"
"GO301_24_8","14:06:00","14:06:00","4","14","0","0"
"GO301_24_8","14:26:00","14:26:00","141","15","0","0"
"GO301_24_10","11:37:00","11:41:00","102","1","0","0"
"GO301_24_10","12:43:00","12:43:00","163","2","0","0"
"GO301_24_10","12:49:00","12:49:00","21","3","0","0"
"GO301_24_10","12:56:00","12:56:00","140","4","0","0"
"GO301_24_10","13:12:00","13:12:00","198","5","0","0"
"GO301_24_10","13:24:00","13:24:00","233","6","0","0"
"GO301_24_10","13:33:00","13:33:00","83","7","0","0"
"GO301_24_10","13:43:00","13:43:00","191","8","0","0"
"GO301_24_10","13:51:00","13:51:00","13","9","0","0"
"GO301_24_10","14:01:00","14:01:00","48","10","0","0"
"GO301_24_10","14:06:00","14:06:00","4","11","0","0"
"GO301_24_10","14:26:00","14:26:00","141","12","0","0"
"GO301_24_11","07:18:00","07:18:00","141","1","0","0"
"GO301_24_11","07:37:00","07:37:00","4","2","0","0"
"GO301_24_11","07:42:00","07:42:00","48","3","0","0"
"GO301_24_11","07:52:00","07:52:00","13","4","0","0"
"GO301_24_11","08:01:00","08:01:00","191","5","0","0"
"GO301_24_11","08:11:00","08:11:00","83","6","0","0"
"GO301_24_11","08:21:00","08:21:00","233","7","0","0"
"GO301_24_11","08:28:00","08:28:00","198","8","0","0"
"GO301_24_11","08:50:00","08:50:00","163","9","0","0"
"GO301_24_11","08:57:00","08:57:00","204","10","0","0"
"GO301_24_11","09:08:00","09:08:00","26","11","0","0"
"GO301_24_11","09:13:00","09:13:00","27","12","0","0"
"GO301_24_11","09:50:00","09:51:00","102","13","0","0"
"GO301_24_11","10:09:00","10:09:00","90","14","0","0"
"GO301_24_12","13:15:00","13:15:00","90","1","0","0"
"GO301_24_12","13:31:00","13:33:00","102","2","0","0"
"GO301_24_12","15:04:00","15:04:00","233","3","0","0"
"GO301_24_12","15:19:00","15:19:00","83","4","0","0"
"GO301_24_12","15:31:00","15:31:00","191","5","0","0"
"GO301_24_12","15:39:00","15:39:00","13","6","0","0"
"GO301_24_12","15:49:00","15:49:00","48","7","0","0"
"GO301_24_12","15:54:00","15:54:00","4","8","0","0"
"GO301_24_12","16:14:00","16:14:00","141","9","0","0"
"GO301_24_13","11:30:00","11:30:00","141","1","0","0"
"GO301_24_13","11:49:00","11:49:00","4","2","0","0"
"GO301_24_13","11:54:00","11:54:00","48","3","0","0"
"GO301_24_13","12:04:00","12:04:00","13","4","0","0"
"GO301_24_13","12:13:00","12:13:00","191","5","0","0"
"GO301_24_13","12:23:00","12:23:00","83","6","0","0"
"GO301_24_13","12:33:00","12:33:00","233","7","0","0"
"GO301_24_13","12:46:00","12:46:00","198","8","0","0"
"GO301_24_13","13:01:00","13:01:00","140","9","0","0"
"GO301_24_13","13:08:00","13:08:00","21","10","0","0"
"GO301_24_13","13:14:00","13:14:00","163","11","0","0"
"GO301_24_13","13:21:00","13:21:00","204","12","0","0"
"GO301_24_13","13:26:00","13:26:00","157","13","0","0"
"GO301_24_13","13:31:00","13:31:00","74","14","0","0"
"GO301_24_13","13:35:00","13:35:00","100","15","0","0"
"GO301_24_13","13:40:00","13:40:00","26","16","0","0"
"GO301_24_13","13:46:00","13:46:00","27","17","0","0"
"GO301_24_13","14:27:00","14:28:00","102","18","0","0"
"GO301_24_14","16:07:00","16:07:00","237","1","0","0"
"GO301_24_14","17:39:00","17:39:00","233","2","0","0"
"GO301_24_14","17:59:00","17:59:00","191","3","0","0"
"GO301_24_14","18:07:00","18:07:00","13","4","0","0"
"GO301_24_14","18:17:00","18:17:00","48","5","0","0"
"GO301_24_14","18:38:00","18:38:00","141","6","0","0"
"GO301_24_16","16:07:00","16:07:00","237","1","0","0"
"GO301_24_16","17:41:00","17:41:00","233","2","0","0"
"GO301_24_16","18:03:00","18:03:00","191","3","0","0"
"GO301_24_16","18:13:00","18:13:00","13","4","0","0"
"GO301_24_16","18:25:00","18:25:00","48","5","0","0"
"GO301_24_16","18:48:00","18:48:00","141","6","0","0"
"GO301_24_17","14:46:00","14:46:00","141","1","0","0"
"GO301_24_17","15:05:00","15:05:00","4","2","0","0"
"GO301_24_17","15:10:00","15:10:00","48","3","0","0"
"GO301_24_17","15:20:00","15:20:00","13","4","0","0"
"GO301_24_17","15:33:00","15:33:00","191","5","0","0"
"GO301_24_17","15:43:00","15:43:00","83","6","0","0"
"GO301_24_17","15:53:00","15:53:00","233","7","0","0"
"GO301_24_17","16:00:00","16:00:00","198","8","0","0"
"GO301_24_17","17:25:00","17:25:00","102","9","0","0"
"GO301_24_18","16:30:00","16:30:00","90","1","0","0"
"GO301_24_18","16:46:00","16:48:00","102","2","0","0"
"GO301_24_18","17:35:00","17:35:00","26","3","0","0"
"GO301_24_18","17:40:00","17:40:00","100","4","0","0"
"GO301_24_18","17:43:00","17:43:00","74","5","0","0"
"GO301_24_18","17:47:00","17:47:00","157","6","0","0"
"GO301_24_18","17:52:00","17:52:00","204","7","0","0"
"GO301_24_18","17:59:00","17:59:00","163","8","0","0"
"GO301_24_18","18:05:00","18:05:00","21","9","0","0"
"GO301_24_18","18:12:00","18:12:00","140","10","0","0"
"GO301_24_18","18:30:00","18:30:00","198","11","0","0"
"GO301_24_18","18:37:00","18:37:00","233","12","0","0"
"GO301_24_18","18:47:00","18:47:00","83","13","0","0"
"GO301_24_18","18:57:00","18:57:00","191","14","0","0"
"GO301_24_18","19:05:00","19:05:00","13","15","0","0"
"GO301_24_18","19:16:00","19:16:00","48","16","0","0"
"GO301_24_18","19:21:00","19:21:00","4","17","0","0"
"GO301_24_18","19:41:00","19:41:00","141","18","0","0"
"GO301_24_18_1","16:30:00","16:30:00","90","1","0","0"
"GO301_24_18_1","16:46:00","16:48:00","102","2","0","0"
"GO301_24_18_1","17:35:00","17:35:00","26","3","0","0"
"GO301_24_18_1","17:40:00","17:40:00","100","4","0","0"
"GO301_24_18_1","17:43:00","17:43:00","74","5","0","0"
"GO301_24_18_1","17:47:00","17:47:00","157","6","0","0"
"GO301_24_18_1","17:52:00","17:52:00","204","7","0","0"
"GO301_24_18_1","17:59:00","17:59:00","163","8","0","0"
"GO301_24_18_1","18:05:00","18:05:00","21","9","0","0"
"GO301_24_18_1","18:12:00","18:12:00","140","10","0","0"
"GO301_24_18_1","18:30:00","18:30:00","198","11","0","0"
"GO301_24_18_1","18:37:00","18:37:00","233","12","0","0"
"GO301_24_18_1","18:47:00","18:47:00","83","13","0","0"
"GO301_24_18_1","18:57:00","18:57:00","191","14","0","0"
"GO301_24_18_1","19:05:00","19:05:00","13","15","0","0"
"GO301_24_18_1","19:16:00","19:16:00","48","16","0","0"
"GO301_24_18_1","19:21:00","19:21:00","4","17","0","0"
"GO301_24_18_1","19:41:00","19:41:00","141","18","0","0"
"GO301_24_20","17:13:00","17:13:00","237","1","0","0"
"GO301_24_20","17:34:00","17:36:00","102","2","0","0"
"GO301_24_20","18:15:00","18:15:00","27","3","0","0"
"GO301_24_20","18:21:00","18:21:00","26","4","0","0"
"GO301_24_20","18:26:00","18:26:00","100","5","0","0"
"GO301_24_20","18:29:00","18:29:00","74","6","0","0"
"GO301_24_20","18:33:00","18:33:00","157","7","0","0"
"GO301_24_20","18:38:00","18:38:00","204","8","0","0"
"GO301_24_20","18:45:00","18:45:00","163","9","0","0"
"GO301_24_20","18:51:00","18:51:00","21","10","0","0"
"GO301_24_20","18:58:00","18:58:00","140","11","0","0"
"GO301_24_20","19:19:00","19:19:00","198","12","0","0"
"GO301_24_20","19:26:00","19:26:00","233","13","0","0"
"GO301_24_20","19:36:00","19:36:00","83","14","0","0"
"GO301_24_20","19:46:00","19:46:00","191","15","0","0"
"GO301_24_20","19:54:00","19:54:00","13","16","0","0"
"GO301_24_20","20:05:00","20:05:00","48","17","0","0"
"GO301_24_20","20:10:00","20:10:00","4","18","0","0"
"GO301_24_20","20:30:00","20:30:00","141","19","0","0"
"GO301_24_21","22:04:00","22:04:00","141","1","0","0"
"GO301_24_21","22:25:00","22:25:00","4","2","0","0"
"GO301_24_21","22:30:00","22:30:00","48","3","0","0"
"GO301_24_21","22:40:00","22:40:00","13","4","0","0"
"GO301_24_21","22:58:00","22:58:00","191","5","0","0"
"GO301_24_21","23:08:00","23:08:00","83","6","0","0"
"GO301_24_21","23:18:00","23:18:00","233","7","0","0"
"GO301_24_21","23:25:00","23:25:00","198","8","0","0"
"GO301_24_21","23:40:00","23:40:00","140","9","0","0"
"GO301_24_21","23:47:00","23:47:00","21","10","0","0"
"GO301_24_21","23:53:00","23:53:00","163","11","0","0"
"GO301_24_21","24:00:00","24:00:00","204","12","0","0"
"GO301_24_21","24:05:00","24:05:00","157","13","0","0"
"GO301_24_21","24:09:00","24:09:00","74","14","0","0"
"GO301_24_21","24:12:00","24:12:00","100","15","0","0"
"GO301_24_21","24:17:00","24:17:00","26","16","0","0"
"GO301_24_21","24:23:00","24:23:00","27","17","0","0"
"GO301_24_21","25:00:00","25:00:00","102","18","0","0"
"GO301_24_22","18:31:00","18:31:00","102","1","0","0"
"GO301_24_22","19:14:00","19:14:00","27","2","0","0"
"GO301_24_22","19:20:00","19:20:00","26","3","0","0"
"GO301_24_22","19:25:00","19:25:00","100","4","0","0"
"GO301_24_22","19:28:00","19:28:00","74","5","0","0"
"GO301_24_22","19:32:00","19:32:00","157","6","0","0"
"GO301_24_22","19:37:00","19:37:00","204","7","0","0"
"GO301_24_22","19:44:00","19:44:00","163","8","0","0"
"GO301_24_22","19:50:00","19:50:00","21","9","0","0"
"GO301_24_22","19:57:00","19:57:00","140","10","0","0"
